Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
15-06-2011,196.3367615,200.3374073,195.9116225,198.8330774,20156715
16-06-2011,193.5024872,196.4348423,192.7503296,196.4348423,24969151
17-06-2011,189.4037476,194.7561142,188.6297887,194.3200747,22029696
20-06-2011,181.664093,190.7663767,180.5412996,190.7663767,30300033
21-06-2011,185.0215759,186.4059843,182.5470615,183.1139085,17413744
22-06-2011,184.4002075,187.0927489,181.8602894,186.0462599,20107599
23-06-2011,189.7852631,190.264905,184.4219964,184.563719,20713868
24-06-2011,189.9815063,191.7910683,186.536807,190.5810553,31670322
27-06-2011,190.0142212,192.2489222,187.8994416,188.9568314,14349371
28-06-2011,189.9161072,191.6166484,187.9321352,191.6166484,10219645
29-06-2011,193.0010834,193.6006324,190.134146,190.9190056,12430639
30-06-2011,195.8898315,196.6528899,193.3826149,193.7532507,21744714
01-07-2011,187.9212341,197.742974,186.7766394,197.742974,28677893
04-07-2011,189.3274384,191.7256484,188.5861668,190.6355569,16499512
05-07-2011,184.4329224,189.5236596,184.007798,189.5236596,33805768
06-07-2011,185.9481354,187.1690489,183.2883104,185.0651703,26877909
07-07-2011,189.8289032,190.7445848,186.4605081,187.0600716,20137982
08-07-2011,186.3733063,190.5483623,185.7519561,190.3303498,20937538
11-07-2011,186.0353699,187.485182,184.6618475,186.1879786,9598807
12-07-2011,184.8253632,186.929242,184.378423,184.77086,13066390
13-07-2011,188.6843262,189.6109085,185.5557591,185.9808835,17029770
14-07-2011,189.1421509,191.3986386,187.3543901,188.2155686,13312532
15-07-2011,190.3739471,190.9843967,188.5861864,189.1748493,10206245
18-07-2011,189.1530304,190.5265382,188.4117588,190.0904986,6582763
19-07-2011,191.7365723,192.1616967,188.8042167,189.13125,9822813
20-07-2011,191.0279846,193.3389898,189.4146486,193.1645652,11180149
21-07-2011,187.6814117,190.9734877,186.9619414,190.9734877,7886175
22-07-2011,190.4066467,191.2024215,188.0411383,188.8042112,15303807
25-07-2011,192.477829,194.4727016,191.6711681,194.4727016,21905216
26-07-2011,190.0033112,194.0693608,189.5454703,193.6551225,20462017
27-07-2011,187.6814117,190.7663759,187.3107759,190.7663759,13675826
28-07-2011,182.5579987,186.4060216,181.6968201,186.4060216,31299376
29-07-2011,180.5085907,184.7163481,179.4621017,183.1357139,21393442
01-08-2011,181.1408386,182.6996715,179.0696618,182.6996715,14242019
02-08-2011,182.5470886,182.8959086,178.4483369,180.4213938,16570663
03-08-2011,179.8763275,182.3072395,179.4512032,180.2469633,14085375
04-08-2011,177.1074829,181.3152401,176.6060397,180.51948,13737415
05-08-2011,172.6708069,174.3059587,169.8365718,174.3059587,26222826
08-08-2011,170.1963043,173.6301031,167.2203609,169.3351404,22242669
09-08-2011,166.8497162,169.8365746,164.1680898,164.1680898,32649029
10-08-2011,168.4739685,172.2347861,166.7843279,171.2209989,17746463
11-08-2011,168.3540497,171.1337817,166.7843161,167.5146725,10890149
12-08-2011,165.8904419,170.7086637,165.2581911,170.7086637,17222470
16-08-2011,165.5088959,168.3758474,164.5387112,165.694221,11286937
17-08-2011,164.6041412,168.8337002,163.7320621,165.8032391,13545843
18-08-2011,161.5954742,165.6942256,160.6797927,165.1927823,17126872
19-08-2011,159.70961,161.1158343,157.2568966,159.3825767,20399978
22-08-2011,165.0401611,165.6615259,158.1943795,159.3716761,15542731
23-08-2011,166.8388214,168.3104494,162.9689832,165.7705311,17536780
24-08-2011,165.9776611,167.765422,164.8221657,166.5663095,12987792
25-08-2011,164.2771301,167.6564117,163.5685603,166.0430753,21214238
26-08-2011,156.8426666,164.8439585,155.2293304,163.7320656,19501819
29-08-2011,164.6150513,165.6724411,158.7939424,159.3934914,18316877
30-08-2011,170.6214294,173.6082878,166.5662808,166.7843079,34217075
02-09-2011,175.6031799,177.4018413,172.1148779,173.6955123,34086257
05-09-2011,171.9840546,174.1969395,170.6977372,173.2158542,19981247
06-09-2011,179.1023865,179.9744656,169.2915469,170.7522744,31333473
07-09-2011,181.7186127,183.898796,179.5820318,179.6474356,31438175
08-09-2011,185.8500671,187.2780928,177.5762593,181.7186135,35284258
09-09-2011,180.0289612,187.179975,179.582021,185.7846513,29564130
12-09-2011,175.7884827,179.3094864,173.3793864,176.6714624,18579499
13-09-2011,176.6496735,179.8109422,173.7064172,177.2928249,25400442
14-09-2011,179.952652,180.9010209,175.5486686,177.4454355,20539026
15-09-2011,182.3290558,182.8304991,177.3691403,181.6096,20407052
16-09-2011,180.0071716,185.3159219,178.9933843,185.3159219,26810791
19-09-2011,179.1132813,180.7702199,177.8160632,179.8654389,12796090
20-09-2011,185.7083435,186.1770849,177.9686815,179.4294089,18437927
21-09-2011,182.6124878,185.5121269,181.4569924,185.5121269,17030216
22-09-2011,171.4390259,180.4977076,170.0546028,179.636529,27298045
23-09-2011,168.0052185,172.801639,166.5880936,168.7246889,38513013
26-09-2011,165.5198212,168.0270379,162.9799025,167.7000191,27202137
27-09-2011,173.8045349,174.5675932,168.3104596,168.7464992,22046959
28-09-2011,173.8045349,175.7884924,172.0385754,174.3604814,25034598
29-09-2011,176.0937042,177.1946964,171.0247684,172.3437876,31511671
30-09-2011,176.2354431,179.4076126,172.7798573,175.1780533,34944185
03-10-2011,171.8423615,174.3931805,170.9484811,172.4964135,21109422
04-10-2011,168.2232361,172.4091922,166.8388131,170.9266637,26251892
05-10-2011,167.2203522,169.5967465,166.0757429,168.4303506,20734666
07-10-2011,175.0472412,176.1591342,171.1228995,171.5153366,19911027
10-10-2011,180.7920227,181.1517579,175.3306639,175.3415645,14846381
11-10-2011,180.3014679,183.4409351,179.3203826,182.045626,15716423
12-10-2011,185.2395935,185.7301362,180.0943532,180.8247096,17269967
13-10-2011,184.6400452,187.0600566,183.5935561,185.3158984,18353721
14-10-2011,189.0004272,189.6108914,183.4627495,183.5717703,17871109
17-10-2011,181.7840118,189.4255686,181.2062641,189.0222309,22052401
18-10-2011,178.7535553,180.1706803,176.8895046,179.8654482,18299531
19-10-2011,183.7897797,184.2258192,179.6692269,179.974459,11872557
20-10-2011,182.8523102,183.3319523,179.2113992,182.0129474,9971735
21-10-2011,182.209137,185.1414923,181.1953498,183.1357192,10342733
24-10-2011,184.5528717,186.1880093,183.9097056,184.8798905,9081569
25-10-2011,190.9734802,192.0635718,183.6044544,186.4059877,22735907
28-10-2011,196.2168579,197.0889371,192.7503715,196.1514542,24528852
31-10-2011,191.3223419,196.0642451,190.2322502,195.7808289,15872042
01-11-2011,187.6269226,191.5294484,186.972856,189.7853047,16384499
02-11-2011,190.0687103,192.0635829,186.4059985,186.4059985,13751121
03-11-2011,193.1427612,193.8949334,188.1501444,189.1857328,16042287
04-11-2011,191.8455811,197.3069545,190.2540461,197.3069545,18251373
08-11-2011,192.6631317,192.9465479,189.3492401,191.6384439,10120202
09-11-2011,188.5752716,194.6143922,187.7468096,194.0475451,11664515
11-11-2011,193.0228882,193.7750605,185.3377285,187.2780981,21739364
14-11-2011,191.1369934,195.3447655,190.3303326,194.3418789,15996247
15-11-2011,187.8121948,191.420403,186.6785009,189.8942721,9897941
16-11-2011,184.9016724,187.2998827,182.5579797,187.2998827,13313254
17-11-2011,176.5842438,185.0215742,175.7775685,184.2367001,24227745
